ID;long;lat;tipo;Mg;Ca;Na;K;HCO3;Cl;SO4
M-241520;-73.8847;7.3185;Aljibe;0.06;0.121;0.25;0.013871795;0.413114754;0.092957746;0.104166667
M-21332;-73.5322;7.685;Pozo;0.13;0.141;1.034782609;0.005;2.050819672;0.005;0.001
M-3061;-73.6638;7.9769;Pozo de monitoreo;0.24;0.725;0.634782609;0.09025641;0.981803279;0.102535211;0.029583333
M-3048;-73.6642;7.979;Pozo de monitoreo;0.71;1.625;1.247826087;0.081025641;4.73442623;0.167323944;0.099375
M-259190;-74.5236;6.1777;Manantial;0.34;0.58;0.336086957;0.089487179;1.726557377;0.036619718;0.083333333
M-0035;-73.7916;7.3097;Pozo;0.04;0.079;0.380434783;0.059487179;0.570491803;0.092957746;0.104166667
M-2800;-73.7916;7.3097;Pozo;0.04;0.079;0.380434783;0.059487179;0.570491803;0.092957746;0.104166667
M-238850;-73.7916;7.3097;Pozo;0.04;0.079;0.380434783;0.059487179;0.570491803;0.092957746;0.104166667
M-26721;-73.8271;7.381;Aljibe;0.33;1.03;3.852173913;0.056410256;0.001;0.464788732;3.166666667
M-247610;-73.5616;7.5464;Pozo;0.04;0.393;0.28826087;0.07025641;0.801639344;0.084507042;0.208333333
M-221160;-73.7451;8.1529;Pozo;0.8;1.415;3.286956522;0.03974359;3.278688525;0.414084507;0.304166667
M-255190;-73.9017;6.6326;;0.02;0.0448;0.330434783;0.005;0.001;0.202816901;0.083333333
M-3051;-73.6669;7.9909;Pozo de monitoreo;1.27;1.47;1.408695652;0.094615385;3.057377049;0.043098592;0.027083333
M-21440;-73.4426;7.3262;Pozo;0.13;0.1485;0.228695652;0.005;0.001;0.005;0.364583333
M-246170;-73.4426;7.3262;Pozo;0.13;0.1485;0.228695652;0.005;0.001;0.005;0.364583333
M-254830;-73.6948;6.8074;Aljibe;12.43;28.45;28.34782609;0.005;8.016393443;67.94366197;21.5
M-0027;-73.8479;7.2871;Aljibe;0.04;0.0705;0.129565217;0.019435897;0.170491803;0.092957746;0.104166667
M-2330;-73.5179;7.6803;Pozo;0.47;0.527;0.663043478;0.064102564;2.13442623;0.084507042;0.208333333
M-0020;-73.8858;7.2464;Aljibe;0.07;0.153;0.734782609;0.206666667;0.3;0.887323944;0.170833333
M-2308;-73.6975;7.5301;Pozo;0.06;0.0755;0.195217391;0.106153846;0.06557377;0.382535211;0.208333333
M-26662;-73.8949;7.3457;Pozo;0.4;0.515;0.52173913;0.079487179;0.001;0.667605634;0.025
M-224320;-73.7324;7.1285;Pozo;0.26;0.0945;0.044782609;0.015897436;0.303278689;0.084507042;0.208333333
M-20079;-73.9435;6.9861;Pozo;0.92;1.4;0.330434783;0.005;2.622622951;1.075211268;0.083333333
M-29074;-73.8292;7.2355;Aljibe;0.03;0.035;0.083913043;0.009230769;0.049180328;0.056338028;0.104166667
M-257210;-74.5743;6.0787;Pozo;0.69;3.9;0.0013;0.156410256;2.054098361;1.154929577;0.104166667
M-21009;-73.6948;6.8075;Aljibe;12.43;28.45;28.34782609;0.005;8.016393443;67.94366197;21.5
M-241250;-73.8479;7.2871;Aljibe;0.04;0.0705;0.129565217;0.019435897;0.170491803;0.092957746;0.104166667
M-235400;-73.7112;6.6355;Manantial;0.28;0.39;0.22173913;0.117948718;0.136065574;0.276056338;0.283333333
M-20047;-73.9508;7.0905;;0.03;0.0665;0.168695652;0.005;0.001;0.095774648;0.083333333
M-0033;-73.7855;7.2461;Pozo;0.08;0.143;0.447826087;0.127692308;0.967213115;0.092957746;0.104166667
M-2798;-73.7855;7.2461;Pozo;0.08;0.143;0.447826087;0.127692308;0.967213115;0.092957746;0.104166667
M-3050;-73.6701;7.969;Pozo de monitoreo;0.29;0.89;0.67826087;0.079487179;1.173770492;0.035211268;0.004166667
M-25911;-73.6686;7.5598;Pozo de monitoreo;0.08;0.3465;0.0013;0.005;0.001;0.084507042;0.208333333
M-257910;-74.5744;6.1543;Pozo;1.82;2.985;0.882608696;0.097948718;8.152786885;0.215211268;0.104166667
M-238670;-73.7855;7.2461;Pozo;0.08;0.143;0.447826087;0.127692308;0.967213115;0.092957746;0.104166667
M-26761;-73.8486;7.2715;Aljibe;0.01;0.005;0.091304348;0.025641026;0.001;0.056338028;0.004166667
M-0017;-73.8096;7.239;Aljibe;0.02;0.0352;0.115217391;0.011358974;0.072131148;0.092957746;0.104166667
M-25880;-73.5062;7.9579;Pozo de monitoreo;0.16;0.345;0.52173913;0.052051282;0.655737705;0.76056338;0.083333333
M-30217;-73.6208;7.1594;Manantial;0.02;0.135;0.439130435;0.01025641;0.001;0.261971831;0.008333333
M-224010;-73.7201;7.0314;Pozo;1.8;4.5305;0.270434783;0.061794872;1.737704918;0.266478873;7.82625
M-227710;-73.6341;7.1145;Aljibe;0.27;0.037;0.391304348;0.031025641;0.193442623;0.088732394;0.208333333
M-254870;-73.6292;6.9069;Aljibe;0.25;0.1095;0.36826087;0.152051282;0.075409836;0.307323944;0.208333333
M-25878;-73.584;7.9388;Pozo de monitoreo;0.28;0.55;0.608695652;0.079487179;0.524590164;1.549295775;0.083333333
M-240840;-73.8096;7.239;Aljibe;0.02;0.0352;0.115217391;0.011358974;0.072131148;0.092957746;0.104166667
M-256960;-73.9508;7.0905;;0.03;0.0665;0.168695652;0.005;0.001;0.095774648;0.083333333
M-0034;-73.8407;7.3274;Pozo;0.07;0.1365;0.38173913;0.044871795;0.275409836;0.270422535;0.104166667
M-2799;-73.8407;7.3274;Pozo;0.07;0.1365;0.38173913;0.044871795;0.275409836;0.270422535;0.104166667
M-0052;-73.5409;7.0351;Manantial;0.44;0.8165;0.660869565;0.064102564;0.079344262;0.081690141;1.825
M-25955;-73.5409;7.0351;Manantial;0.44;0.8165;0.660869565;0.064102564;0.079344262;0.081690141;1.825
M-2131;-73.5722;7.8995;Pozo;0.26;0.422;0.656521739;0.041025641;0.97704918;0.278873239;0.104166667
M-25874;-73.5756;7.8713;Pozo de monitoreo;0.26;0.422;0.656521739;0.041025641;0.97704918;0.278873239;0.104166667
M-247140;-73.6688;7.5107;Pozo;0.58;0.695;0.392608696;0.132051282;1.639016393;0.036619718;0.104166667
M-257430;-74.5883;6.0999;Pozo;0.09;0.0845;2.708695652;0.594871795;0.032786885;2.118309859;1.291666667
M-2224;-73.6712;7.6003;Pozo;0.72;0.213;0.47826087;0.161025641;1.409836066;0.056338028;0.104166667
M-220630;-73.6656;8.0777;Pozo;0.18;0.54;0.239130435;0.152307692;0.33442623;0.709859155;0.083333333
M-25897;-73.5929;7.3674;Aljibe;0.01;0.2805;0.0013;0.005;0.001;0.084507042;0.208333333
M-26667;-73.892;7.4128;Pozo;0.03;0.04;0.147826087;0.048717949;0.001;0.149295775;0.025
M-0031;-73.8995;7.1956;Pozo;0.89;1.44;3.317391304;0.076153846;5.737704918;0.092957746;0.104166667
M-2189;-73.5449;7.9037;Pozo;0.91;1.55;1.043478261;0.005;2.393442623;1.126760563;0.001
M-25885;-73.5705;7.9525;Pozo de monitoreo;0.91;1.55;1.043478261;0.005;2.393442623;1.126760563;0.001
M-239010;-73.8407;7.3274;Pozo;0.07;0.1365;0.38173913;0.044871795;0.275409836;0.270422535;0.104166667
M-26697;-73.8336;7.4259;Aljibe;0.03;0.04;0.256521739;0.192307692;0.001;0.298591549;0.116666667
M-0046;-73.8068;7.0243;Aljibe;0.14;0.2105;0.306521739;0.076923077;0.5;0.081690141;0.1875
M-25964;-73.8068;7.0243;Aljibe;0.14;0.2105;0.306521739;0.076923077;0.5;0.081690141;0.1875
M-0010;-73.5168;8.1827;Pozo;0.79;0.86492;0.613017391;0.065482051;1.672131148;0.329577465;0.277083333
M-236030;-73.701;8.2156;Aljibe;3.18;5.8;1.443478261;0.124358974;6.393442623;4.253521127;0.184375
M-0055;-73.7948;6.8113;Pozo;0.07;0.2105;0.617391304;0.061538462;0.706557377;0.081690141;0.1875
M-25958;-73.7948;6.8113;Pozo de monitoreo;0.07;0.2105;0.617391304;0.061538462;0.706557377;0.081690141;0.1875
M-26176;-73.8396;7.1254;Pozo de monitoreo;4.18;33.65;124.5652174;0.325641026;0.355737705;162.7887324;0.083333333
M-0028;-73.7733;7.3246;Aljibe;0.02;0.0309;0.173043478;0.024487179;0.081967213;0.092957746;0.104166667
M-2803;-73.7733;7.3246;Aljibe;0.02;0.0309;0.173043478;0.024487179;0.081967213;0.092957746;0.104166667
M-2177;-73.528;7.9747;Pozo;0.54;0.75;0.52173913;0.074358974;1.409836066;0.309859155;0.104166667
M-25883;-73.5722;7.8995;Pozo de monitoreo;0.54;0.75;0.52173913;0.074358974;1.409836066;0.309859155;0.104166667
M-0022;-73.8085;7.2908;Aljibe;0.04;0.0575;0.226521739;0.091794872;0.091803279;0.245070423;0.104166667
M-242410;-73.7497;7.3976;Aljibe;0.52;1.035;0.377391304;0.070769231;1.742459016;0.091549296;0.104166667
M-238060;-73.8995;7.1956;Pozo;0.89;1.44;3.317391304;0.076153846;5.737704918;0.092957746;0.104166667
M-235930;-73.6534;8.4833;Pozo;0.37;1.15;0.347826087;0.043589744;0.016393443;1.622535211;0.345833333
M-2296;-73.8888;7.4127;Pozo;1;0.8665;0.982608696;0.256410256;3.273770492;0.084507042;0.208333333
M-20557;-73.8888;7.4127;Pozo;1;0.8665;0.982608696;0.005;3.273770492;0.005;0.001
M-239610;-73.8888;7.4127;Pozo;1;0.8665;0.982608696;0.005;3.273770492;0.005;0.001
M-257520;-74.5859;6.1047;Pozo;0.1;0.0925;2.695652174;0.615384615;0.032786885;2.225352113;1.083333333
M-26530;-73.4496;7.3274;Pozo de monitoreo;1.67;1.185;1.895652174;0.091538462;3.868852459;0.278873239;0.51875
M-238510;-73.8437;7.2276;Pozo;0.08;0.146;1.169565217;0.261538462;0.496721311;0.515492958;0.558333333
M-0030;-73.8437;7.2276;Pozo;0.08;0.146;1.169565217;0.261538462;0.496721311;0.515492958;0.558333333
M-2797;-73.8437;7.2276;Pozo;0.08;0.146;1.169565217;0.261538462;0.496721311;0.515492958;0.558333333
